"Name","Release_Price","Max_Power","Memory","Memory_Bandwidth","Core_Speed","Manufacturer","Memory_Type","Release_Year","log_Memory_Bandwidth"
"GeForce GTX 960 EVGA ACX 2.0+ 2GB Edition",209.99,120,2048,112.2,1127,"Nvidia","GDDR5",2015,4.7202829930886
"Radeon RX 570 4GB",169,120,4096,224,1100,"AMD","GDDR5",2017,5.41164605185504
"GeForce GTX 1060 MSI Gaming X 6G Edition",289,120,6144,192.2,1569,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon R9 285 2GB",249,190,2048,176,918,"AMD","GDDR5",2014,5.17048399503815
"Radeon R9 390 Club3D royalQueen OC 8GB Edition",419,300,8192,384,1010,"AMD","GDDR5",2015,5.95064255258773
"Radeon RX 580 XFX GTS XXX 4GB",250,150,4096,224,1100,"AMD","GDDR5",2017,5.41164605185504
"Radeon HD 7790",149,85,1024,96,1100,"AMD","GDDR5",2013,4.56434819146784
"Radeon HD 7750 1GB GDDR5",109,55,1024,72,800,"AMD","GDDR5",2012,4.27666611901606
"GeForce GT 640 v2",109,49,1024,40,902,"Nvidia","GDDR5",2012,3.68887945411394
"GeForce GTX 1060 3GB",200,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTX 1050 Ti EVGA SC Gaming 4GB",150,75,4096,112.1,1354,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon RX 460 HIS iCooler OC 4GB",130,75,4096,112,1090,"AMD","GDDR5",2016,4.71849887129509
"GeForce GTX 1070 Gainward Phoenix GLH",590,150,8192,272.3,1670,"Nvidia","GDDR5",2016,5.60690439967971
"Radeon RX 460 XFX 4GB Twin Fan",150,75,4096,112,1090,"AMD","GDDR5",2016,4.71849887129509
"Radeon HD 7970 GHz Edition",499,250,3072,288,1000,"AMD","GDDR5",2012,5.66296048013595
"Radeon R7 250 2GB",89,65,2048,73.6,1000,"AMD","GDDR5",2013,4.29864502573483
"GeForce GT 640 v3",89,49,2048,40.1,1046,"Nvidia","GDDR5",2013,3.69137633431252
"GeForce GTX 1060 MSI Gaming 3GB",220,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTS 250",199,150,1024,70.4,738,"Nvidia","GDDR3",2009,4.254193263164
"GeForce GTX 560",199,150,1024,128.1,810,"Nvidia","GDDR5",2011,4.85281120890269
"Radeon RX 480 GIGABYTE G1 Gaming 4GB",200,150,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"GeForce 9800 GTX+",229,141,512,70.4,738,"Nvidia","GDDR3",2009,4.254193263164
"Radeon RX 480 Gigabyte G1 Gaming 4GB",210,120,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"GeForce GTX 950 Zotac AMP! 2GB Edition",174,120,2048,112.3,1203,"Nvidia","GDDR5",2015,4.7211738617444
"Radeon RX 470 HIS IceQ X2 Turbo 4GB",199,120,4096,211.2,926,"AMD","GDDR5",2016,5.35280555183211
"Radeon R7 260X",139,115,2048,104,1100,"AMD","GDDR5",2013,4.64439089914137
"Radeon RX 460 ASUS DUAL 2GB",115,75,2048,112,1100,"AMD","GDDR5",2016,4.71849887129509
"Radeon HD 7950 Boost Edition",449,200,3072,240,850,"AMD","GDDR5",2012,5.48063892334199
"Radeon RX 470 MSI Gaming 8GB",199,110,8192,211.2,926,"AMD","GDDR5",2016,5.35280555183211
"Radeon RX 480 Diamond 8GB",120,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"GeForce GTX 560 Asus DirectCU II OC 1GB Edition",209,150,1024,134.4,850,"Nvidia","GDDR5",2011,4.90082042808905
"GeForce GTX 1050 Ti MSI 4GB",150,75,4096,112.1,1290,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon RX 480 Asus ROG Strix Gaming 8GB",240,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon RX 560 XFX Single Fan OC 2GB",119.99,80,2048,112,1175,"AMD","GDDR5",2017,4.71849887129509
"Radeon R7 370 MSI OC 2GB Edition",154,110,2048,179.2,970,"AMD","GDDR5",2015,5.18850250054083
"GeForce GTX 980 Zotac AMP! Extreme 4GB Edition",569.99,185,4096,230.4,1291,"Nvidia","GDDR5",2014,5.43981692882174
"Radeon R9 380 Gigabyte G1 Gaming 4GB Edition",229,190,4096,182.4,990,"AMD","GDDR5",2015,5.20620207764023
"Radeon RX 560 Sapphire Pulse OC 4GB",129.99,80,4096,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 1060 Asus Dual OC 3GB",220,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTX 1060 Inno3D iChill X3 3GB",299.99,120,3072,197,1100,"Nvidia","GDDR5",2016,5.28320372873799
"Radeon RX 470 PowerColor Red Devil 4GB",199,120,4096,224,926,"AMD","GDDR5",2016,5.41164605185504
"Radeon RX 480 PowerColor Red Devil 8GB",270,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon R7 240 v2 1GB",69,30,1024,72,730,"AMD","GDDR5",2013,4.27666611901606
"GeForce GTX 950 Asus DirectCU II OC Strix Gaming 2GB Edition",169,150,2048,105.8,1140,"Nvidia","GDDR5",2015,4.6615505194242
"GeForce GTX 1070 Palit GameRock Premium",585,150,8192,272,1670,"Nvidia","GDDR5",2016,5.605802066296
"Radeon R9 380 Sapphire Dual-X OC 2GB Edition",229,225,2048,176,985,"AMD","GDDR5",2015,5.17048399503815
"Radeon RX 480 Armor 8GB",245,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon RX Vega 64 Nano 8GB",499,200,8192,256,1100,"AMD","HBM-2",2017,5.54517744447956
"GeForce GTX 950 EVGA SSC ACX 2.0 2GB Edition",169,125,2048,105.8,1190,"Nvidia","GDDR5",2015,4.6615505194242
"GeForce GTX 1070 Gainward",438,150,8192,256.3,1506,"Nvidia","GDDR5",2016,5.54634863337003
"Radeon RX 480 MSI Armor OC 4GB",220,120,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"Radeon RX Vega 64 Air 8GB",499,295,8192,256,1100,"AMD","HBM-2",2017,5.54517744447956
"GeForce GTX 980 MSI Gaming 4GB Edition",579.99,165,4096,224.4,1216,"Nvidia","GDDR5",2014,5.41343017364854
"Radeon RX 460 XFX 2GB Twin Fan",140,150,2048,112,1090,"AMD","GDDR5",2016,4.71849887129509
"GeForce GTX 1050 MSI OC 2GB",130,75,2048,112.1,1404,"Nvidia","GDDR5",2016,4.71939133007811
"GeForce GTX 1070 MSI Founders 8GB Edition",449,150,8192,256.3,1506,"Nvidia","GDDR5",2016,5.54634863337003
"Radeon RX 460 2GB",110,75,2048,192.1,1100,"AMD","GDDR5",2016,5.25801606977451
"Radeon RX 580 XFX GTR XXX 8GB",250,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"GeForce GTX 1060 Galax OC 3GB",249.99,120,3072,192.2,1518,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon RX 580 PowerColor Red Devil 8GB",200,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"Radeon RX 480 Sapphire NITRO+ 4GB",235,150,4096,224,1208,"AMD","GDDR5",2016,5.41164605185504
"Radeon HD 6970 PowerColor 2GB Edition",369,250,2048,176,880,"AMD","GDDR5",2010,5.17048399503815
"GeForce GTX 980 MSI 4GB Edition",549.99,180,4096,224.4,1126,"Nvidia","GDDR5",2014,5.41343017364854
